product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
81784753,Siyah Gold Lavoba Batarya 002,807,Hırdavat Ürünleri,Hırdavat Ürünleri,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,56.7435,2021-02-20 06:20:14,2021-02-20 06:20:14
33727844,Sihirli Küre Losyonu - Hermoso,1383,Ev Tüketim Malzemeleri,Ev Tüketim Malzemeleri,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,8.01287,2021-02-20 06:40:16,2021-02-20 06:40:16
37964958,6 Adet Sukulent Seti Birbirinden Farklı Karışım,2617,Teraryum & Sukulentler,Teraryum & Sukulentler,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,9.113349999999999,2021-02-20 07:20:15,2021-02-20 07:20:15
6693096,Ge 25W E14 Duylu 300° Fırın Ampulü,932,Ampul,Ampul,100098,Bahçe & Yapı Market & Hırdavat,No Color,3.439,2021-02-20 07:20:15,2021-02-20 07:20:15
38568650,Bevel Mutfak Evye Armatür Bataryası Bv8500,2571,Batarya & Musluk,Batarya & Musluk,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,106.23070999999999,2021-02-20 08:40:20,2021-02-20 08:40:20
75203533,Nutri-cu %8 Sıvı Bakır - Bordo Bulamacı,2621,Bitki Besinleri ve Gübreler,Bitki Besinleri ve Gübreler,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,17.191561,2021-02-20 08:40:20,2021-02-20 08:40:20
50299442,Kapı Kulbu Duvar Koruyucu Kapı Pencere Stoperi 4 Adet Aparat,2544,Kapı Stoperleri,Kapı Stoperleri,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,5.1585,2021-02-20 08:20:25,2021-02-20 08:20:25
52829256,"Siyah Kalp Ritim Desenli Cerrahi Forma, Hemşire Forma, Hastane Forma",596,Forma,Forma,100098,Bahçe & Yapı Market & Hırdavat,Renksiz,25.789060999999997,2021-02-20 08:20:25,2021-02-20 08:20:25
33485979,Yapışkanlı Keçe Zemin Koruyucusu Çap 45 Mm.,2534,Mobilya Hırdavatı,Mobilya Hırdavatı,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,4.811161,2021-02-20 08:00:18,2021-02-20 08:00:18
36823802,Yakamoz Saksı 4.8 Litre Dekoratif Saksı,2615,Saksı,Saksı,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,6.12142,2021-02-20 08:00:18,2021-02-20 08:00:18
2573704,Tsk6134 Powersurge 5 Priz 1050 Joule Enerji Koruma,4546,Priz,Priz,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,25.754671,2021-02-20 03:00:35,2021-02-20 03:00:35
39084574,"METAL MAT SİYAH MOBİLYA AYAĞI 2 ADET  AYARLI BİNGOLU LÜKS AYAK 12,5 CM",2534,Mobilya Hırdavatı,Mobilya Hırdavatı,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,22.693960999999998,2021-02-20 03:40:55,2021-02-20 03:40:55
39375249,Yüzeysel Hareketli Panjur 54x44 Plastik Banyo Wc Havalandırma Menfezi,2548,Menfezler,Menfezler,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,20.634,2021-02-20 03:40:55,2021-02-20 03:40:55
6793885,346-2713 Siyah Mermer Desen Kendinden Yapışkanlı Folyo,2565,Duvar & Cephe Kaplama,Duvar & Cephe Kaplama,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,11.097653000000001,2021-02-20 03:40:55,2021-02-20 03:40:55
38470355,Dahlia Yıldız Çiçek Tohumu 10 Adet Doğal Ev Bahçe Için Ideal Saksı+torf Hediye,2628,Tohumlar,Tohumlar,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,6.843609999999999,2021-02-20 12:20:14,2021-02-20 12:20:14
37609333,Home Raflı Duvar Anahtarlığı,2517,Anahtarlar,Anahtarlar,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,6.843609999999999,2021-02-20 12:20:14,2021-02-20 12:20:14
57463700,Bitki ve Saksı Toprağı Solucan Gübresi Torf Humus Perlit Leonardit Akıllı Toprak 30 lt,2629,Torf ve Topraklar,Torf ve Topraklar,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,10.299805,2021-02-20 12:20:14,2021-02-20 12:20:14
32226513,Perlit 10 lt,2629,Torf ve Topraklar,Torf ve Topraklar,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,5.416424999999999,2021-02-20 12:20:14,2021-02-20 12:20:14
46562589,Arzuman Salatalık Kornişon Hıyar Tohumu,2628,Tohumlar,Tohumlar,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,2.537982,2021-02-20 12:20:14,2021-02-20 12:20:14
37587497,10 Adet Winlock Beyaz Anahtarlı Pvc Pencere Emniyet Kilidi Pimapen Kapı Çocuk Hırsız Güvenlik,2537,Kapı-Kapı Hırdavatı,Kapı-Kapı Hırdavatı,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,55.842482,2021-02-20 12:00:50,2021-02-20 12:00:50
48241266,Çıt Çıt Tulumba Pres Makina Set,3174,Dikiş Makinesi Aksesuarları,Dikiş Makinesi Aksesuarları,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,82.536,2021-02-20 12:00:50,2021-02-20 12:00:50
72849744,Plastik Kumpas,2471,Ölçüm Cihazları,Ölçüm Cihazları,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,6.874560999999999,2021-02-20 12:00:50,2021-02-20 12:00:50
38452554,115 Mm Avuç Taşlama Makinası 580 W,2485,Taşlamalar,Taşlamalar,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,54.98961,2021-02-20 09:20:20,2021-02-20 09:20:20
51133590,Ters Klavuz Seti 5 Parça,2481,Elektrikli El Aleti Aksesuarı,Elektrikli El Aleti Aksesuarı,100098,Bahçe & Yapı Market & Hırdavat,UNKNOWN,25.066871,2021-02-20 09:20:20,2021-02-20 09:20:20
49165783,Ceviz Çift Raylı Ahşap Rustik Perde Askısı - Rustik Borusu 225 Cm,2991,Perde Aksesuarı,Perde Aksesuarı,100098,Bahçe & Yapı Market & Hırdavat,Kahverengi,76.603725,2021-02-20 10:00:46,2021-02-20 10:00:46
